Value,User,Dimension
6.0,GJ05BX2045,18 8642d9d6fffffff
28.0,GJ05BX2911,18 8642d9d6fffffff
34.0,GJ05BZ0713,18 8642d9d6fffffff
22.0,GJ05BX2272,18 8642d9d6fffffff
19.0,GJ05BX8849,18 8642d9d6fffffff
27.0,GJ05BX2824,18 8642d9d6fffffff
27.0,GJ05BX2654,18 8642d9d6fffffff
16.0,GJ05CU2220,18 8642d9d6fffffff
8.0,GJ05BX2152,18 8642d9d6fffffff
8.0,GJ05BX2045,18 8642d9d6fffffff
27.0,GJ05BX2695,18 8642d9d6fffffff
25.0,GJ05BX8849,18 8642d9d6fffffff
27.0,GJ05BX2654,18 8642d9d6fffffff
28.0,GJ05CU2220,18 8642d9d6fffffff
34.0,GJ05BZ4152,18 8642d9d6fffffff
5.0,GJ05BZ3917,18 8642d9d6fffffff
34.0,GJ05BX2824,18 8642d9d6fffffff
43.0,GJ05BZ0713,18 8642d9d6fffffff
19.0,GJ05BX2695,18 8642d9d6fffffff
14.0,GJ05BX2152,18 8642d9d6fffffff
11.0,GJ05BX2102,18 8642d9d6fffffff
27.0,GJ05BX2272,18 8642d9d6fffffff
21.0,GJ05BX3472,18 8642d9d6fffffff
22.0,GJ05BX3193,18 8642d9d6fffffff
11.0,GJ05BX8849,18 8642d9d6fffffff
28.0,GJ05BX2654,18 8642d9d6fffffff
13.0,GJ05CU2220,18 8642d9d6fffffff
34.0,GJ05BX2368,18 8642d9d6fffffff
29.0,GJ05BZ4152,18 8642d9d6fffffff
26.0,GJ05BX2911,18 8642d9d6fffffff
21.0,GJ05BZ0713,18 8642d9d6fffffff
14.0,GJ05BX2654,18 8642d9d6fffffff
25.0,GJ05BX2824,18 8642d9d6fffffff
14.0,GJ05BZ3563,18 8642d9d6fffffff
6.0,GJ05BX3439,18 8642d9d6fffffff
38.0,GJ05BX2368,18 8642d9d6fffffff
36.0,GJ05BZ0713,18 8642d9d6fffffff
11.0,GJ05CU2220,18 8642d9d6fffffff
10.0,GJ05BZ2909,18 8642d9d6fffffff
28.0,GJ05BX2911,18 8642d9d6fffffff
18.0,GJ05BX2045,18 8642d9d6fffffff
10.0,GJ05BX3439,18 8642d9d6fffffff
20.0,GJ05BZ3917,18 8642d9d6fffffff
40.0,GJ05BZ4152,18 8642d9d6fffffff
7.0,GJ05BX2496,18 8642d9d6fffffff
25.0,GJ05BX2654,18 8642d9d6fffffff
9.0,GJ05BX8849,18 8642d9d6fffffff
28.0,GJ05BX2150,18 8642d9d6fffffff
23.0,GJ05BX2824,18 8642d9d6fffffff
33.0,GJ05BX2368,18 8642d9d6fffffff
2.0,GJ05CU2220,18 8642d9d6fffffff
23.0,GJ05BX2045,18 8642d9d6fffffff
29.0,GJ05BZ3917,18 8642d9d6fffffff
42.0,GJ05BZ4152,18 8642d9d6fffffff
11.0,GJ05BX2496,18 8642d9d6fffffff
18.0,GJ05BX2102,18 8642d9d6fffffff
13.0,GJ05BX2695,18 8642d9d6fffffff
38.0,GJ05BZ0713,18 8642d9d6fffffff
19.0,GJ05BX8849,18 8642d9d6fffffff
19.0,GJ05BX3522,18 8642d9d6fffffff
27.0,GJ05BX2654,18 8642d9d6fffffff
9.0,GJ05BZ2909,18 8642d9d6fffffff
21.0,GJ05BX2272,18 8642d9d6fffffff
31.0,GJ05BX2150,18 8642d9d6fffffff
23.0,GJ05CU2220,18 8642d9d6fffffff
30.0,GJ05BX2045,18 8642d9d6fffffff
29.0,GJ05BX2911,18 8642d9d6fffffff
23.0,GJ05BX3522,18 8642d9d6fffffff
25.0,GJ05BZ3917,18 8642d9d6fffffff
36.0,GJ05BZ4152,18 8642d9d6fffffff
20.0,GJ05BZ0713,18 8642d9d6fffffff
16.0,GJ05BX2150,18 8642d9d6fffffff
18.0,GJ05BX2065,18 8642d9d6fffffff
11.0,GJ05BX2824,18 8642d9d6fffffff
20.0,GJ05BZ0713,18 8642d9d6fffffff
35.0,GJ05BZ4152,18 8642d9d6fffffff
19.0,GJ05BX3439,18 8642d9d6fffffff
7.0,GJ05BX8726,18 8642d9d6fffffff
24.0,GJ05BX2496,18 8642d9d6fffffff
17.0,GJ05BX2695,18 8642d9d6fffffff
28.0,GJ05BX8849,18 8642d9d6fffffff
29.0,GJ05CU2220,18 8642d9d6fffffff
25.0,GJ05BX2368,18 8642d9d6fffffff
14.0,GJ05CU2320,18 8642d9d6fffffff
6.0,GJ05BX2152,18 8642d9d6fffffff
14.0,GJ05BX2911,18 8642d9d6fffffff
9.0,GJ05BX3472,18 8642d9d6fffffff
23.0,GJ05BZ3563,18 8642d9d6fffffff
29.0,GJ05BX2368,18 8642d9d6fffffff
12.0,GJ05BX2272,18 8642d9d6fffffff
15.0,GJ05BX2591,18 8642d9d6fffffff
17.0,GJ05BX2654,18 8642d9d6fffffff
17.0,GJ05BX2150,18 8642d9d6fffffff
14.0,GJ05BX2278,18 8642d9d6fffffff
43.0,GJ05BZ0713,18 8642d9d6fffffff
10.0,GJ05BX2065,18 8642d9d6fffffff
8.0,GJ05BX2911,18 8642d9d6fffffff
9.0,GJ05BX3472,18 8642d9d6fffffff
31.0,GJ05BX2152,18 8642d9d6fffffff
29.0,GJ05BZ3917,18 8642d9d6fffffff
15.0,GJ05BX3439,18 8642d9d6fffffff
23.0,GJ05BX2496,18 8642d9d6fffffff
8.0,GJ05BX8726,18 8642d9d6fffffff
33.0,GJ05BX8849,18 8642d9d6fffffff
25.0,GJ05BX3522,18 8642d9d6fffffff
20.0,GJ05BX2695,18 8642d9d6fffffff
33.0,GJ05CU2220,18 8642d9d6fffffff
43.0,GJ05CU2320,18 8642d9d6fffffff
21.0,GJ05BX2824,18 8642d9d6fffffff
9.0,GJ05BX2654,18 8642d9d6fffffff
28.0,GJ05BX3522,18 8642d9d6fffffff
14.0,GJ05BX2278,18 8642d9d6fffffff
31.0,GJ05BZ3917,18 8642d9d6fffffff
24.0,GJ05BX3439,18 8642d9d6fffffff
